X,Y
17,875.0286759
67,13482.96473
24,1731.435221
34,3473.744746
68,13875.58769
6,114.2035866
69,14280.09292
28,2355.779055
31,2883.420634
90,24307.32784
24,1732.893793
56,9410.24768
69,14286.52115
88,23239.09888
31,2884.125688
7,148.5201385
74,16437.3012
49,7206.594149
13,509.6733739
74,16432.76798
8,193.3172456
69,14293.43589
39,4567.042181
53,8426.155904
21,1330.235596
7,154.0015923
88,23238.07875
22,1460.08491
25,1872.869099
100,30001.2981
45,6073.90878
34,3475.260847
88,23236.22025
70,14702.54839
67,13470.16319
11,368.7200294
47,6629.671949
76,17328.58364
63,11911.00011
58,10095.78023
30,2701.160785
75,16873.70471
43,5556.937749
31,2889.487654
29,2526.924301
68,13875.71825
34,3464.423531
17,867.0859917
89,23766.6115
75,16879.99295
13,509.5174012
33,3270.738858
47,6625.745942
7,155.4164016
72,15551.87675
47,6639.314116
29,2525.545987
69,14289.33291
38,4341.18339
59,10454.11029
70,14708.55123
88,23235.41897
43,5553.488859
23,1595.26362
36,3897.012229
56,9408.916582
38,4341.391828
52,8109.970608
64,12293.42293
32,3071.462858
97,28226.09211
5,81.03994226
37,4115.4309
68,13874.58843
84,21179.47928
95,27077.62761
4,58.65409384
51,7812.452959
19,1082.346154
98,28821.28258
39,4568.093537
55,9081.042739
26,2032.425846
35,3680.356845
27,2196.417591
34,3477.868662
100,30000.9585
95,27080.69821
14,592.3106264
91,24850.04548
100,30000.51108
5,84.85847778
64,12296.09119
49,7206.920469
55,9077.641506
87,22708.91015
29,2525.584104
9,248.7125452
68,13878.32325
40,4806.654356
